example_id                                                                  | status | run_time        |
./spec/better_service/concerns/validatable_spec.rb[1:4:3]                   | passed | 0.0007 seconds  |
./spec/better_service/concerns/validatable_spec.rb[1:4:4]                   | passed | 0.00112 seconds |
./spec/better_service/configuration_spec.rb[1:1:1:1]                        | passed | 0.00018 seconds |
./spec/better_service/configuration_spec.rb[1:1:2:1]                        | passed | 0.00018 seconds |
./spec/better_service/configuration_spec.rb[1:1:3:1]                        | passed | 0.00018 seconds |
./spec/better_service/configuration_spec.rb[1:1:4:1]                        | passed | 0.00018 seconds |
./spec/better_service/configuration_spec.rb[1:1:5:1]                        | passed | 0.00018 seconds |
./spec/better_service/configuration_spec.rb[1:1:6:1]                        | passed | 0.00019 seconds |
./spec/better_service/configuration_spec.rb[1:1:7:1]                        | passed | 0.00018 seconds |
./spec/better_service/configuration_spec.rb[1:1:8:1]                        | passed | 0.00018 seconds |
./spec/better_service/configuration_spec.rb[1:1:9:1]                        | passed | 0.00018 seconds |
./spec/better_service/configuration_spec.rb[1:2:1:1]                        | passed | 0.00018 seconds |
./spec/better_service/configuration_spec.rb[1:2:2:1]                        | passed | 0.00021 seconds |
./spec/better_service/configuration_spec.rb[1:2:3:1]                        | passed | 0.00018 seconds |
./spec/better_service/configuration_spec.rb[1:2:4:1]                        | passed | 0.00018 seconds |
./spec/better_service/configuration_spec.rb[1:2:5:1]                        | passed | 0.00018 seconds |
./spec/better_service/configuration_spec.rb[1:2:6:1]                        | passed | 0.00018 seconds |
./spec/better_service/configuration_spec.rb[1:2:7:1]                        | passed | 0.00019 seconds |
./spec/better_service/configuration_spec.rb[1:2:8:1]                        | passed | 0.00018 seconds |
./spec/better_service/configuration_spec.rb[1:3:1:1]                        | passed | 0.00028 seconds |
./spec/better_service/configuration_spec.rb[1:3:1:2]                        | passed | 0.00021 seconds |
./spec/better_service/configuration_spec.rb[1:3:2:1]                        | passed | 0.00022 seconds |
./spec/better_service/configuration_spec.rb[1:3:2:2]                        | passed | 0.00022 seconds |
./spec/better_service/configuration_spec.rb[1:3:3:1]                        | passed | 0.00023 seconds |
./spec/better_service/configuration_spec.rb[1:4:1]                          | passed | 0.00018 seconds |
./spec/better_service/configuration_spec.rb[1:4:2]                          | passed | 0.00022 seconds |
./spec/better_service/configuration_spec.rb[1:4:3]                          | passed | 0.00018 seconds |
